Index	Element	Class	Class_no	Class_color	Category	Category_color	Category_no	Gene_name	Gene_fxn	Gene
42	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NarG_COG5013	"Nitrate reductase alpha subunit"	COG5013
43	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NarI_COG2181	"Nitrate reductase gamma subunit"	COG2181
44	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NarJ_COG2180	"Nitrate reductase delta subunit"	COG2180
45	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NarY_COG1140	"Nitrate reductase beta subunit"	COG1140
46	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.2.Dnt	Dnt_NorB_COG3256	"Nitric oxide reductase large subunit"	COG3256
47	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.2.Dnt	Dnt_NosD_COG3420	"Nitrous oxidase accessory protein"	COG3420
48	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.2.Dnt	Dnt_NosZ_COG4263	"Nitrous oxide reductase"	COG4263
49	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.3.Dnt	Dnt_QcrA_COG0723	"Rieske Fe-S protein"	COG0723
50	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.3.Dnt	Dnt_QcrB_COG1290	"Cytochrome b subunit of the bc complex"	COG1290
51	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Diss. NO3 red.	"#00C400"	N_1.2.dissNO3r	dissNO3r_Hyb_COG0437	"Fe-S-cluster-containing hydrogenase components 1"	COG0437
52	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Diss. NO3 red.	"#00C400"	N_1.2.dissNO3r	dissNO3r_NrfA_COG3303	"Formate-dependent nitrite reductase_periplasmic cytochrome c552 subunit"	COG3303
53	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Diss. NO3 red.	"#00C400"	N_1.2.dissNO3r	dissNO3r_NrfD_COG3301	"Formate-dependent nitrite reductase_membrane component"	COG3301
54	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	NH3 oxidation	"#00A700"	N_1.3.AmoOx	AmoOx_abrB_COG3180	"Putative ammonia monooxygenase"	COG3180
55	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	NH3 oxidation	"#00A700"	N_1.3.AmoOx	Anamx_Hzo_COG1151	"6Fe-6S prismane cluster-containing protein (Hydroxylamine reductase)"	COG1151
56	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NO3 assim.	"#008300"	N_2.1.assmNO3r	assmNO3r_NarK_COG2223	"Nitrate/nitrite transporter"	COG2223
58	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NO3 assim.	"#008300"	N_2.1.assmNO3r	assmNO3r_NirB_COG1251	"NAD(P)H-nitrite reductase"	COG1251
59	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NO3 assim.	"#008300"	N_2.1.assmNO3r	assmNO3r_NirD_COG2146	"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases"	COG2146
60	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NO3 assim.	"#008300"	N_2.1.assmNO3r	assmNO3r_Nrt_COG0715	"ABC-type nitrate/sulfonate/bicarbonate transport systems_periplasmic components"	COG0715
61	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_ansB_COG0252	"L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D"	COG0252
62	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_aNsB_COG0367	"Asparagine synthase (glutamine-hydrolyzing)"	COG0367
63	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_COG2902	"NAD-specific glutamate dehydrogenase"	COG2902
64	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_GdHA_COG0334	"Glutamate dehydrogenase/leucine dehydrogenase"	COG0334
65	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_GlnA_COG0174	"Glutamine synthetase"	COG0174
66	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_GlsA_COG2066	"Glutaminase"	COG2066
67	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_GltB_COG0067	"Glutamate synthase domain 1"	COG0067
68	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	NH4+ assim.	"#005700"	N_2.2.NH4assm	NH4assm_GltD_COG0493	"NADPH-dependent glutamate synthase beta chain and related oxidoreductases"	COG0493
69	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	N-fixation	"#002B00"	N_2.3.N_fix	N.fix_NifH_COG1348	"Nitrogenase subunit NifH (ATPase)"	COG1348
70	Nitrogen	N_Assimilation	N_2.N_Assim	"#005700"	N-fixation	"#002B00"	N_2.3.N_fix	N.fix_NifD_COG2710	"Nitrogenase molybdenum-iron protein_alpha and beta chains"	COG2710
71	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	Pi_porin_COG3746	"Phosphate-selective porin"	COG3746
72	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	Pi_permease_COG0306	"Phosphate/sulphate permeases"	COG0306
73	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	ABC_P.transp_COG0226	"ABC-type phosphate transport system_periplasmic component"	COG0226
74	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	ABC_P.transp_COG1117	"ABC-type phosphate transport system_ATPase component"	COG1117
75	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	ABC_Pi_COG0573	"ABC-type phosphate transport system_permease component"	COG0573
76	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	ABC_Pi_COG0581	"ABC-type phosphate transport system_permease component"	COG0581
77	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	PO4 transport	"#7B9AED"	P_1.1.P.transp	Ptrans_Pit_COG1283	"Na+/phosphate symporter"	COG1283
78	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.intrnl_COG2190	"Phosphotransferase system IIA components"	COG2190
79	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.reg_COG0704	"Phosphate uptake regulator"	COG0704
80	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.reg_phoH_COG1875	"Predicted ATPase related to phosphate starvation-inducible protein PhoH"	COG1875
81	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.reg_COG1392	"Phosphate transport regulator (distant homolog of PhoU)"	COG1392
82	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.intrnl_COG2045	"Phosphosulfolactate phosphohydrolase and related enzymes"	COG2045
83	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.3.P.intrnl	P.reg_phoPQ_COG4287	"PhoPQ-activated pathogenicity-related protein"	COG4287
84	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.2.ppk	ppk.e_COG0855	"P internal"	COG0855
85	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	P internal	"#4A5CF4"	P_1.2.ppk	ppk.p_COG5036	"SPX domain-containing protein involved in vacuolar polyphosphate accumulation"	COG5036
86	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	Inorg. P-ases	"#181EFB"	P_1.4.Ppi	P.ase_Ppi_COG0221	"Inorganic pyrophosphatase"	COG0221
87	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	Inorg. P-ases	"#181EFB"	P_1.4.Ppi	P.ase_Ppi_COG1694	"Predicted pyrophosphatase"	COG1694
88	Phosphorus	P_transp_intnl	P_1.P_trans	"#7B9AED"	Inorg. P-ases	"#181EFB"	P_1.4.Ppi	P.ase_Ppi_COG3808	"Inorganic pyrophosphatase"	COG3808
90	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Inorg. P-ases	"#0000DA"	P_2.1.ppx	ppx.e_COG0248	"Inorg. P-ases"	COG0248
91	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Inorg. P-ases	"#0000DA"	P_2.1.ppx	ppx.p_COG0618	"Inorg. P-ases-related proteins"	COG0618
92	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Inorg. P-ases	"#0000DA"	P_2.1.ppx	P.ase_Ppi.ppx_COG1227	"Inorganic pyrophosphatase/Inorg. P-ases"	COG1227
93	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphatases	"#000091"	P_2.2.P.ase	Pase_ac_COG3907	"PAP2 (acid phosphatase) superfamily protein"	COG3907
94	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphatases	"#000091"	P_2.2.P.ase	P.ase_alk_COG1785	"Alkaline phosphatase"	COG1785
96	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphatases	"#000091"	P_2.2.P.ase	P.ase_alk_COG3540	"Phosphodiesterase/alkaline phosphatase D"	COG3540
97	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phytases	"#000091"	P_2.3.Phyt	P.ase_3phytase_COG4247	"3-phytase (myo-inositol-hexaphosphate 3-phosphohydrolase)"	COG4247
98	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phytases	"#000091"	P_2.3.Phyt	P.ase_Phyt.arch_COG0483	"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family"	COG0483
99	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG2824	"Uncharacterized Zn-ribbon-containing protein involved in phosphonate metabolism"	COG2824
100	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3454	"Metal-dependent hydrolase involved in phosphonate metabolism"	COG3454
101	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3624	"Uncharacterized enzyme of phosphonate metabolism"	COG3624
102	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3625	"Uncharacterized enzyme of phosphonate metabolism"	COG3625
103	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3626	"Uncharacterized enzyme of phosphonate metabolism"	COG3626
104	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3627	"Uncharacterized enzyme of phosphonate metabolism"	COG3627
105	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.4.Phn	P_phn.p_COG3709	"Uncharacterized component of phosphonate metabolism"	COG3709
106	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.5.phn.transp	ABC_Pi.Phn_COG3638	"ABC-type phosphate/phosphonate transport system_ATPase component"	COG3638
107	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.5.phn.transp	ABC_Pi.Phn_COG3639	"ABC-type phosphate/phosphonate transport system_permease component"	COG3639
108	Phosphorus	P_scavenging	P_2.P_scav	"#000091"	Phosphonate util.	"#000048"	P_2.5.phn.transp	ABC_Phn_COG4778	"ABC-type phosphonate transport system_ATPase component"	COG4778
